id|namecode|tropicos_namecode|family|family_zh|family_fot|family_fot_zh|genus|genus_zh|name|fullname|plant_type|zh_name
6975|||Isoëtaceae|水韭科|||Isoëtes|水韭屬|Isoëtes taiwanensis var. kinmenensis|Isoëtes taiwanensis De Vol var. kinmenensis F.Y. Lu, H.H. Chen & Y.L. Hsueh|1|{金門水韭}
6976|||Isoëtaceae|水韭科|||Isoëtes|水韭屬|Isoëtes taiwanensis var. taiwanensis|Isoëtes taiwanensis De Vol var. taiwanensis|1|{臺灣水韭}
6998|||Lycopodiaceae|石松科||石松科|Dendrolycopodium|玉柏屬|Dendrolycopodium juniperoideum|Dendrolycopodium juniperoideum (Sw.) A. Haines|1|{玉柏}
6999|||Lycopodiaceae|石松科||石松科|Diphasiastrum|扁枝石松屬|Diphasiastrum multispicatum|Diphasiastrum multispicatum (J.H. Wilce) Holub|1|{地刷子}
7000|||Lycopodiaceae|石松科||石松科|Diphasiastrum|扁枝石松屬|Diphasiastrum veitchii|Diphasiastrum veitchii (Christ) Holub|1|{玉山石松}
7001|||Lycopodiaceae|石松科||石松科|Diphasiastrum|扁枝石松屬|Diphasiastrum yueshanense|Diphasiastrum yueshanense (C. M. Kuo) Holub|1|{玉山地刷子}
7002|||Lycopodiaceae|石松科||石松科|Huperzia|石杉屬|Huperzia appressa|Huperzia appressa (Desv.) Á. Löve & D. Löve|1|{小杉葉石松}
7472|||Lycopodiaceae|石松科|Lycopodiaceae|石松科|Huperzia|石杉屬|Huperzia emeiensis|Huperzia emeiensis (Ching & H.S.Kung) Ching & H.S.Kung|1|{峨眉石杉}
7003|||Lycopodiaceae|石松科||石松科|Huperzia|石杉屬|Huperzia fargesii|Huperzia fargesii (Herter) Holub|1|{銳葉石松}
7510|||Lycopodiaceae|石松科|Lycopodiaceae|石松科|Huperzia|石杉屬|Huperzia herteriana|Huperzia herteriana (Kummerle) T.Sen & U.Sen|1|{錫金石杉}
